,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
2393,Noxubee,Noxubee,Noxubee County,28103,MS,Mississippi,33.1102,-88.5698,10261
2394,Roberts,Roberts,Roberts County,46109,SD,South Dakota,45.6296,-96.9461,10242
2395,Alcona,Alcona,Alcona County,26001,MI,Michigan,44.6854,-83.5938,10238
2396,Chicot,Chicot,Chicot County,5017,AR,Arkansas,33.267,-91.2937,10234
2397,Nemaha,Nemaha,Nemaha County,20131,KS,Kansas,39.7834,-96.0141,10219
2398,Pike,Pike,Pike County,5109,AR,Arkansas,34.1635,-93.6564,10205
2399,Love,Love,Love County,40085,OK,Oklahoma,33.9499,-97.2441,10158
2400,Lowndes,Lowndes,Lowndes County,1085,AL,Alabama,32.1547,-86.6501,10153
2401,Holt,Holt,Holt County,31089,NE,Nebraska,42.4557,-98.7838,10149
2402,Howard,Howard,Howard County,29089,MO,Missouri,39.1425,-92.6963,10142
2403,Perry,Perry,Perry County,5105,AR,Arkansas,34.9475,-92.9313,10055
2404,Madison,Madison,Madison Parish,22065,LA,Louisiana,32.3644,-91.2427,10028
2405,Keokuk,Keokuk,Keokuk County,19107,IA,Iowa,41.3365,-92.1786,10026
2407,Franklin,Franklin,Franklin County,19069,IA,Iowa,42.7325,-93.2625,10015
2408,Marshall,Marshall,Marshall County,20117,KS,Kansas,39.7836,-96.5229,10014
2409,Jackson,Jackson,Jackson County,27063,MN,Minnesota,43.6742,-95.1541,9990
2410,Lewis,Lewis,Lewis County,29111,MO,Missouri,40.0969,-91.7221,9987
2411,Sabine,Sabine,Sabine County,48403,TX,Texas,31.3432,-93.8518,9980
2412,Lanier,Lanier,Lanier County,13173,GA,Georgia,31.0379,-83.0628,9964
2413,Duval,Duval,Duval County,48131,TX,Texas,27.6814,-98.5089,9960
2414,Webster,Webster,Webster County,28155,MS,Mississippi,33.6131,-89.2848,9942
2415,Yuma,Yuma,Yuma County,8125,CO,Colorado,40.0029,-102.4243,9938
2416,Carroll,Carroll,Carroll County,28015,MS,Mississippi,33.4485,-89.9202,9930
2417,Ochiltree,Ochiltree,Ochiltree County,48357,TX,Texas,36.2784,-100.8157,9924
2418,Emery,Emery,Emery County,49015,UT,Utah,38.9967,-110.7006,9898
2419,Switzerland,Switzerland,Switzerland County,18155,IN,Indiana,38.8262,-85.037,9896
2420,Calhoun,Calhoun,Calhoun County,19025,IA,Iowa,42.3852,-94.6404,9893
2421,Pulaski,Pulaski,Pulaski County,13235,GA,Georgia,32.2323,-83.476,9887
2422,Grundy,Grundy,Grundy County,29079,MO,Missouri,40.1139,-93.5653,9878
2423,Scott,Scott,Scott County,5127,AR,Arkansas,34.8607,-94.0633,9871
2424,Martin,Martin,Martin County,18101,IN,Indiana,38.708,-86.8031,9863
2425,Runnels,Runnels,Runnels County,48399,TX,Texas,31.8311,-99.9762,9858
2426,Parmer,Parmer,Parmer County,48369,TX,Texas,34.5301,-102.7845,9809
2427,Swift,Swift,Swift County,27151,MN,Minnesota,45.2827,-95.6815,9806
2428,Montgomery,Montgomery,Montgomery County,28097,MS,Mississippi,33.4941,-89.6164,9803
2429,West Carroll,West Carroll,West Carroll Parish,22123,LA,Louisiana,32.7885,-91.4568,9800
2430,Tunica,Tunica,Tunica County,28143,MS,Mississippi,34.6507,-90.375,9787
2431,McLean,McLean,McLean County,38055,ND,North Dakota,47.6069,-101.3218,9781
2432,Sac,Sac,Sac County,19161,IA,Iowa,42.3862,-95.1054,9778
2433,Clarke,Clarke,Clarke County,19039,IA,Iowa,41.029,-93.7852,9737
2434,Benewah,Benewah,Benewah County,16009,ID,Idaho,47.2176,-116.6587,9731
2435,Wayne,Wayne,Wayne County,31179,NE,Nebraska,42.2093,-97.1193,9701
2436,Zavala,Zavala,Zavala County,48507,TX,Texas,28.8662,-99.7605,9700
2437,Cumberland,Cumberland,Cumberland County,51049,VA,Virginia,37.5121,-78.245,9697
2438,Linn,Linn,Linn County,20107,KS,Kansas,38.2123,-94.843,9696
2439,Stevens,Stevens,Stevens County,27149,MN,Minnesota,45.5861,-96.0003,9682
2440,Grand,Grand,Grand County,49019,UT,Utah,38.982,-109.5698,9680
2441,Marion,Marion,Marion County,48315,TX,Texas,32.798,-94.3572,9668
2442,Rock,Rock,Rock County,27133,MN,Minnesota,43.6747,-96.2532,9659
2443,Caldwell,Caldwell,Caldwell Parish,22021,LA,Louisiana,32.0925,-92.1166,9658
