,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
2126,Butler,Butler,Butler County,19023,IA,Iowa,4.450271276937926,-1.1316420392409157,14376
2127,Cedar,Cedar,Cedar County,29039,MO,Missouri,-0.557428723062074,-2.1980420392409172,14314
2128,Smith,Smith,Smith County,28129,MS,Mississippi,-6.263628723062077,2.151857960759088,14310
2129,Choctaw,Choctaw,Choctaw County,40023,OK,Oklahoma,-4.2547287230620725,-3.893642039240916,14285
2130,Knott,Knott,Knott County,21119,KY,Kentucky,-0.9273287230620753,8.704457960759086,14282
2131,Saline,Saline,Saline County,31151,NE,Nebraska,2.2427712769379227,-5.482342039240919,14275
2132,Hardy,Hardy,Hardy County,54031,WV,West Virginia,0.7261712769379258,12.800557960759079,14249
2133,Noble,Noble,Noble County,39121,OH,Ohio,1.4845712769379276,10.202957960759079,14216
2134,York,York,York County,31185,NE,Nebraska,2.5913712769379273,-5.9385420392409145,14212
2135,Clay,Clay,Clay County,1027,AL,Alabama,-5.012328723062076,5.798057960759081,14209
2136,Claiborne,Claiborne,Claiborne Parish,22027,LA,Louisiana,-5.458628723062077,-1.3372420392409197,14203
2137,Rusk,Rusk,Rusk County,55107,WI,Wisconsin,7.1938712769379265,0.5253579607590808,14179
2138,Trigg,Trigg,Trigg County,21221,KY,Kentucky,-1.474928723062078,3.7852579607590826,14154
2139,Calhoun,Calhoun,Calhoun County,45017,SC,South Carolina,-4.6064287230620735,10.878257960759086,14145
2140,Craig,Craig,Craig County,40035,OK,Oklahoma,-1.5196287230620769,-3.549942039240918,14144
2141,Estill,Estill,Estill County,21065,KY,Kentucky,-0.5889287230620752,7.694257960759089,14138
2142,O'Brien,O'Brien,O'Brien County,19141,IA,Iowa,4.802471276937922,-3.9663420392409137,14138
2143,Massac,Massac,Massac County,17127,IL,Illinois,-1.0624287230620766,2.9509579607590837,14135
2144,Swain,Swain,Swain County,37173,NC,North Carolina,-2.794528723062072,8.16575796075908,14130
2145,Atoka,Atoka,Atoka County,40005,OK,Oklahoma,-3.907628723062075,-4.379242039240921,14117
2146,Wadena,Wadena,Wadena County,27159,MN,Minnesota,8.304471276937925,-3.31084203924091,14108
2147,Dickenson,Dickenson,Dickenson County,51051,VA,Virginia,-1.1555287230620763,9.30815796075909,14089
2148,McKenzie,McKenzie,McKenzie County,38053,ND,North Dakota,9.458871276937927,-11.736742039240923,14081
2149,Price,Price,Price County,55099,WI,Wisconsin,7.399071276937924,1.2971579607590797,14066
2150,Nantucket,Nantucket,Nantucket County,25019,MA,Massachusetts,3.001771276937923,21.589357960759088,14065
2151,Allamakee,Allamakee,Allamakee County,19005,IA,Iowa,5.002971276937927,0.2804579607590796,14046
2152,Roane,Roane,Roane County,54087,WV,West Virginia,0.4326712769379242,10.310257960759088,14027
2153,Screven,Screven,Screven County,13251,GA,Georgia,-5.530728723062076,10.046557960759088,14026
2154,Reeves,Reeves,Reeves County,48389,TX,Texas,-6.958328723062074,-12.034442039240915,14022
2155,Pennington,Pennington,Pennington County,27113,MN,Minnesota,9.784871276937928,-4.378142039240913,13995
2156,Crockett,Crockett,Crockett County,47033,TN,Tennessee,-2.467828723062077,2.519057960759085,13955
2157,Faribault,Faribault,Faribault County,27043,MN,Minnesota,5.392571276937929,-2.2894420392409103,13931
2159,Zapata,Zapata,Zapata County,48505,TX,Texas,-11.280528723062073,-7.510042039240915,13896
2160,Walthall,Walthall,Walthall County,28147,MS,Mississippi,-7.132928723062076,1.5524579607590852,13888
2161,Lamar,Lamar,Lamar County,1075,AL,Alabama,-4.502228723062075,3.561557960759089,13885
2162,Callahan,Callahan,Callahan County,48059,TX,Texas,-5.983728723062072,-7.714942039240924,13869
2163,Morgan,Morgan,Morgan County,39115,OH,Ohio,1.339071276937922,9.805857960759084,13851
2164,Morgan,Morgan,Morgan County,21175,KY,Kentucky,-0.35902872306207456,8.399657960759086,13840
2165,Murray,Murray,Murray County,40099,OK,Oklahoma,-3.7990287230620723,-5.4093420392409115,13837
2166,Chowan,Chowan,Chowan County,37041,NC,North Carolina,-2.1305287230620777,15.050657960759082,13835
2167,White,White,White County,17193,IL,Illinois,-0.19382872306207588,3.4789579607590895,13834
2168,Newton,Newton,Newton County,18111,IN,Indiana,2.674471276937929,4.260957960759086,13829
2169,Madison,Madison,Madison County,51113,VA,Virginia,0.13237127693792416,13.37935796075908,13828
2170,Washington,Washington,Washington County,17189,IL,Illinois,0.07087127693792894,2.248057960759084,13781
2171,Glacier,Glacier,Glacier County,30035,MT,Montana,10.423771276937927,-21.33614203924091,13781
